candidate_id,rank,score,reasoning
CAND_0046525,1,0.91424,"Top-ranked: 6.1 YOE as Senior Machine Learning Engineer at Genpact AI. Expert-level skills include Machine Learning, LlamaIndex, Sentence Transformers, Qdrant, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Genpact AI). Availability signals: actively open to work; high response rate (88%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0041669,2,0.907606,"Top-ranked: 8.0 YOE as Recommendation Systems Engineer at CRED. Expert-level skills include Milvus, PEFT, Semantic Search, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (CRED). Availability signals: actively open to work; high response rate (77%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0018499,3,0.898325,"Top-ranked: 7.2 YOE as Senior Machine Learning Engineer at Zomato. Expert-level skills include Deep Learning, Weaviate, Recommendation Systems, scikit-learn, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Zomato). Availability signals: actively open to work. Notice period 15d — within the JD's preferred range. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0086022,4,0.89164,"Top-ranked: 5.3 YOE as Senior Applied Scientist at Sarvam AI. Expert-level skills include pgvector, Fine-tuning LLMs, Pinecone, Embeddings, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Sarvam AI). Availability signals: actively open to work. Immediate joiner. Located in Kolkata, West Bengal (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0039754,5,0.889,"Top-ranked: 16.2 YOE as Senior Applied Scientist at Meta. Expert-level skills include Fine-tuning LLMs, Qdrant, NLP, OpenSearch, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Meta). Availability signals: actively open to work; high response rate (81%). Notice period 30d — within the JD's preferred range. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0068811,6,0.884162,"Top-ranked: 8.0 YOE as Applied ML Engineer at Freshworks. Expert-level skills include Vector Search, Qdrant, scikit-learn, TensorFlow, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Freshworks). Availability signals: actively open to work. Notice period 30d — within the JD's preferred range. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0027691,7,0.880289,"Top-ranked: 6.5 YOE as NLP Engineer at Haptik. Expert-level skills include LoRA, Recommendation Systems, Weaviate, QLoRA, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Haptik). Availability signals: actively open to work. Notice period 15d — within the JD's preferred range. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0011687,8,0.87876,"Top-ranked: 7.8 YOE as Senior NLP Engineer at Niramai. Expert-level skills include TensorFlow, OpenSearch, PEFT, Embeddings, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Niramai). Availability signals: actively open to work; high response rate (89%). Notice period 15d — within the JD's preferred range. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0052328,9,0.87862,"Top-ranked: 6.5 YOE as Recommendation Systems Engineer at Amazon. Expert-level skills include OpenSearch, QLoRA, Learning to Rank, scikit-learn, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Amazon). Availability signals: actively open to work; high response rate (79%). Notice period 30d — within the JD's preferred range. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0002025,10,0.87608,"Top-ranked: 5.9 YOE as Senior AI Engineer at Apple. Expert-level skills include FAISS, TensorFlow, scikit-learn, Haystack, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Apple). Availability signals: actively open to work; high response rate (80%). Notice period 30d — within the JD's preferred range. Located in Trivandrum, Kerala (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0075574,11,0.87144,"Strong candidate: 5.7 YOE as Machine Learning Engineer at Haptik. Expert-level skills include pgvector, Weaviate, OpenSearch, scikit-learn, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Haptik). Availability signals: actively open to work. Notice period 60d — above the JD's preferred 30-day threshold. Located in Bangalore, Karnataka (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
